회사명,공고명,"채용 형태(경력, 신입)",직장 위치,키워드,마감 기한,공고 링크
㈜더블유게임즈,[DUC 개발본부] [소셜 카지노] 서버 개발자 채용 (신입/경력),신입·경력,서울 강남구,"2D온라인게임, AWS, SVN, NODE.JS, 게임기획, restful, 게임개발, 3D디자인, 3D온라인게임",~01/19(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43369284?Oem_Code=C1&logpath=1&stext=&listno=24
㈜인사이드정보,[신입/경력] 인사이드정보 검색엔진 개발자 및 엔지니어 채용,신입·경력1년↑,서울 강남구 외,"SM, 솔루션, 시스템분석, 시스템운영, SI, 시스템분석, OLAP, 아키텍처, 시스템설계, 서버관리, 소프트웨어개발",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43365949?Oem_Code=C1&logpath=1&stext=&listno=25
㈜머큐리,(주)머큐리 SW개발 신입 및 경력직 채용,신입·경력3년↑,서울 동작구,"모바일앱개발, 소프트웨어개발",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43365185?Oem_Code=C1&logpath=1&stext=&listno=26
신한이지손해보험㈜,신한EZ손해보험 - IT기획 지원 담당자 모집(신입/경력(4년이하),신입·경력,서울 중구,"손해사정, 자동차보험, IT 구매, IT 자산관리, IT 예산관리, IT 기획, 손해보험",~12/08(금),https://www.jobkorea.co.kr//Recruit/GI_Read/43364933?Oem_Code=C1&logpath=1&stext=&listno=27
㈜이테크시스템,네트워크 엔지니어 모집 (공공/국방 분야),신입·경력2년↑,서울 중구,"하드웨어, 네트워크관리",~12/20(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43364632?Oem_Code=C1&logpath=1&stext=&listno=28
태하메카트로닉스㈜,리눅스 어플리케이션 개발부문 신입/경력 직원모집,신입·경력,경기 안양시 외,"전기·전자, 소프트웨어개발",~11/26(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43363909?Oem_Code=C1&logpath=1&stext=&listno=29
㈜에임메드,"Delphi ,VB  경력직 채용 (계약직)",신입·경력1년↑,서울 강남구,"바이오, VB, 건강, 보건",~11/23(목),https://www.jobkorea.co.kr//Recruit/GI_Read/43363450?Oem_Code=C1&logpath=1&stext=&listno=30
㈜이오테크닉스,(주)이오테크닉스 개발자 모집 (제어SW),신입·경력,경기 안양시 외,"펌웨어, 임베디드, PCB, 시스템분석, 시스템운영, 자동화설비, 메카트로닉스, 시스템분석, 클라이언트, SI개발, 시스템설계, 펌웨어, 기계설비, 아키텍처, 시스템설계",~12/10(일),https://www.jobkorea.co.kr//Recruit/GI_Read/43363187?Oem_Code=C1&logpath=1&stext=&listno=31
몰팩바이오,인공지능 AI 개발,신입·경력,서울 서초구,생명공학,~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43361171?Oem_Code=C1&logpath=1&stext=&listno=32
몰팩바이오,리눅스 및 IT등관리,신입·경력,서울 서초구,생명공학,~01/17(수),https://www.jobkorea.co.kr//Recruit/GI_Read/43361166?Oem_Code=C1&logpath=1&stext=&listno=33
